pdbid entity method              res-ion   resid chain dih1            dih2            dih3            dih4            dih5            dih6            
5jmn  1      X-ray diffraction   2.5       1107  B     -149.9858352722 118.7186953825  -176.6937312365 55.3547770816   -127.9642778821 -133.0745814801 
5jmn  1      X-ray diffraction   2.5       1109  C     -45.7364078349  -91.8514807046  166.7347278457  83.5157199617   -111.0921959813 -174.7610916633 
5jmn  1      X-ray diffraction   2.5       1110  C     -166.5766308909 -75.8917798470  112.3129580491  172.6967835477  94.9050644323   27.3125559656   
5jmn  1      X-ray diffraction   2.5       1111  C     -162.3762028529 147.4833968982  141.3234521262  109.6845263285  -165.4166917651 65.3757703307   
4j2t  1      X-ray diffraction   3.2       1002  A     59.1291816847   172.0299395915  -19.5052695897  173.8012727973  176.2455923181  57.4550616048   
3w5d  1      X-ray diffraction   2.45      1002  A     -114.5591409229 166.7232598943  171.7122399808  107.7711534566  140.3761483231  61.4581002888   
3w5d  1      X-ray diffraction   2.45      1003  A     51.6196308287   103.3990181378  -161.4089339826 -94.2165039453  -130.3628236057 165.1100191731  
3w5d  1      X-ray diffraction   2.45      1004  A     -141.0933278455 -153.3896913281 155.9077217840  -155.9050046116 -158.7562985448 -35.9598058549  
3w5d  1      X-ray diffraction   2.45      1005  A     170.8216983649  -157.1059437041 -169.9138875416 132.0726570724  98.0083600494   70.4239372433   
3w5d  1      X-ray diffraction   2.45      1006  A     -135.8713433018 -158.2561264667 163.7923591008  92.1953376250   160.3560671169  53.3315198928   
4v3e  1      X-ray diffraction   2.9       200   B     125.0467629259  176.8196535210  178.2048676111  -88.9680277325  -141.4213472008 -172.6827836127 
4v3d  1      X-ray diffraction   2.65      200   B     60.2158664886   -104.6967626802 -48.1222355153  -72.8679833252  -110.4593272280 178.7649692891  
4v3d  1      X-ray diffraction   2.65      200   D     -139.8986766422 165.6556619948  -46.3019448605  179.9436867645  110.8750850677  93.0161039843   
5a1s  1      X-ray diffraction   2.5       1455  A     176.1274153300  156.9055005141  -91.5717460326  -97.8348554463  -99.3942084112  -162.4386925369 
4ycm  1      X-ray diffraction   3.2       1005  A     89.1490810967   89.4514073454   -158.1432181789 -67.3766777881  -144.0330499580 -172.8541391029 
4ycm  1      X-ray diffraction   3.2       1006  A     45.4541717861   -178.9855729294 165.2639742792  -52.0786325812  -173.7320560343 -166.6149714504 
4n31  1      X-ray diffraction   2.2       201   B     19.9212089695   168.3363772895  -156.1688694098 29.7770927209   -166.7508381164 -175.3262094997 
2vwa  1      X-ray diffraction   2.5       1230  A     110.3241541702  89.7014028853   14.0007909961   -130.2521543038 -86.3058053842  108.6969730290  
2vwa  1      X-ray diffraction   2.5       1230  B     56.9970516640   97.8646569727   -179.3047108632 -61.5935529355  -89.1534299691  163.4958370495  
2vwa  1      X-ray diffraction   2.5       1230  C     137.2345878773  140.3664049370  176.5107761790  -75.5723298561  -101.8028138903 147.6451442676  
2vwa  1      X-ray diffraction   2.5       1230  D     53.9082131528   135.9214737878  -99.5505128215  -87.3568184993  -71.7627913541  147.4887433107  
2vwa  1      X-ray diffraction   2.5       1230  E     -94.9460496923  127.6530448442  91.2131376508   -177.7930999075 -17.2077145929  113.0540593332  
2vwa  1      X-ray diffraction   2.5       1230  F     -43.5646530149  -89.4178815429  -112.2204183181 -117.8437352390 -118.4317509853 74.1989282701   
3pg7  1      X-ray diffraction   2.189     400   A     71.5956991779   -179.7445553620 -164.5350237724 -49.0792718966  170.5045252647  -172.3358365966 
3pg7  1      X-ray diffraction   2.189     500   B     175.5627916382  -151.8100656861 -70.4177894827  -56.3011174376  -169.8977722503 -125.1975488750 
5td3  1      X-ray diffraction   1.75      405   A     62.7185014885   142.7221099067  -80.0019016622  178.9798419960  129.6202441555  -55.7416710314  
5td3  1      X-ray diffraction   1.75      401   B     -86.8375339881  91.6730368426   56.8071865833   -17.4564650318  123.2538787938  38.4636819013   
5vxt  1      X-ray diffraction   1.75      401   A     -72.2563495097  116.6538677566  -136.9099337920 56.7260989090   -168.0053921123 -55.7947271416  
5vxt  1      X-ray diffraction   1.75      401   B     74.7821506907   162.0238566348  -101.6168256591 24.8407205736   -177.8050919066 -19.3853141777  
6ymx  1      Electron Microscopy 3.17      604   a     -163.8685900899 -158.7432320351 151.4513248449  42.5208252414   -156.9060300088 -15.3405218634  
6ymx  1      Electron Microscopy 3.17      302   b     177.3028585889  -174.7414665846 -152.7937688110 136.0294473343  -158.7421575921 74.5105159879   
6ymx  1      Electron Microscopy 3.17      301   c     162.4941054632  150.0756017237  -165.9288454996 127.8094162609  163.5019158100  167.0376355121  
6ymx  1      Electron Microscopy 3.17      101   i     -157.2669451750 143.4875655819  167.8810705821  -159.5414653200 -151.5267284107 94.8862106787   
6ymx  1      Electron Microscopy 3.17      101   m     -172.3920926491 -178.1245830319 -170.1573018261 159.9762755518  145.1156296157  51.0350695480   
6ymx  1      Electron Microscopy 3.17      102   m     171.4595175076  -147.3344751818 -120.3119274398 -21.5940775058  -159.0509478744 149.1423680704  
6ymx  1      Electron Microscopy 3.17      402   D     -44.7599046585  169.2563630998  6.6713767002    56.4315506679   125.8710302481  79.5184935729   
6wlw  1      Electron Microscopy 3.0       306   0     -163.7737774955 144.8058131332  -157.2577717635 -152.0685305134 81.3352011255   -129.3190174728 
6wlw  1      Electron Microscopy 3.0       201   2     155.9691250315  -136.1322324192 -77.6949005403  -121.7677087777 -157.3426249625 3.0961208103    
6wlw  1      Electron Microscopy 3.0       202   5     -136.5354846828 150.6779659740  -21.7636466082  106.1530151867  -160.4679232159 108.1114614623  
6wlw  1      Electron Microscopy 3.0       202   6     151.1268016603  -147.8496698034 152.2012354044  -145.0327312239 -86.0839435391  175.9487133611  
6wlw  1      Electron Microscopy 3.0       201   8     135.0403436952  -167.5040196560 -75.8810334978  -173.3135109534 -104.6582125424 -178.5877524682 
6wlw  1      Electron Microscopy 3.0       903   R     -47.3974186046  114.7091362744  -33.6089976803  -132.9342037456 133.8821250480  -105.9380407324 
6wlw  1      Electron Microscopy 3.0       503   U     59.1981933622   129.1301518629  55.5775402579   79.3782379079   -153.4485646622 97.5680610037   
6wlw  1      Electron Microscopy 3.0       404   V     -179.6735900925 -166.3564778144 145.3046694371  -117.3885481392 131.0121047900  119.7892469184  
6wbn  1      Electron Microscopy 2.83      401   A     -103.7983977231 68.4210938391   176.3212647467  86.3997763197   99.6256143010   129.2839425667  
6wbn  1      Electron Microscopy 2.83      402   A     -172.0143274776 -67.7257704642  123.5652515969  -49.2694985617  -143.5264455076 74.7987961683   
