pdbid entity method              res-ion   resid chain dih1            dih2            dih3            dih4            dih5            dih6            
3vra  1      X-ray diffraction   3.44      201   D     -78.4937058986  -101.2350737490 -106.5779425316 -165.6672339001 -163.0331259987 164.7199935816  
3vra  1      X-ray diffraction   3.44      201   H     103.9008060788  113.2567268143  171.7881326631  -49.0894358784  -158.8233013592 98.1537712272   
3vrb  1      X-ray diffraction   2.91      201   D     -135.4971036129 -162.7518220789 105.8063157822  -38.0583901047  175.4520214402  160.0935078111  
3vrb  1      X-ray diffraction   2.91      201   H     -69.1998900239  -88.6010432704  164.4924060000  144.3299517185  159.1802818602  -159.9238907091 
4g33  1      X-ray diffraction   2.03      702   A     -46.9039765171  157.8223397941  55.1301454134   96.1679655173   -145.3409586856 -91.5493629427  
5ir4  1      X-ray diffraction   1.48      702   A     -55.4080357186  177.4943654968  58.5469208088   67.7513447580   -150.1901220524 -58.3301321658  
5lc8  1      X-ray diffraction   1.8       703   A     -63.4260783618  -177.0334191994 57.6787261063   72.4086822327   -145.7080208500 -70.7220990801  
5ir5  1      X-ray diffraction   1.9       702   A     -57.5402822815  163.0369030032  52.5825628653   75.5274970491   -165.2376792843 -66.5699576753  
4g32  1      X-ray diffraction   1.75      702   A     -71.5953652362  168.0611403438  66.7611861872   77.7070891132   -162.8528087238 -65.9079572156  
6a9j  1      X-ray diffraction   2.7       401   A     31.7209752887   131.1134528909  -148.8264608540 -28.2071346897  -72.8052518343  113.5249898452  
6a9j  1      X-ray diffraction   2.7       401   B     65.3837098176   -140.0650897730 -127.8606441536 -63.1345578753  -132.5882175990 103.2814383732  
6adq  1      Electron Microscopy 3.5       301   G     162.5987850990  -121.3776105819 -177.3438227766 82.7628764416   143.5518185831  133.6351513796  
6adq  1      Electron Microscopy 3.5       202   D     131.1545807887  109.9561150563  7.8964499339    -169.3442566505 125.8190624036  -109.4014865610 
6adq  1      Electron Microscopy 3.5       201   K     -168.6003945329 89.7338860415   -8.6822796913   143.5952448776  154.6115450125  -150.1342131731 
6adq  1      Electron Microscopy 3.5       606   B     -154.5674904380 -164.5804413894 63.9635398130   -150.5482042747 -179.0149475327 150.4375364447  
6adq  1      Electron Microscopy 3.5       201   W     -166.9412588476 89.5679220360   -8.4936968443   140.5528974323  154.2971301724  -147.1964160061 
7bh1  1      Electron Microscopy 3.38      801   B     145.6254117702  -78.2397465622  -151.1041880568 84.9816308880   -178.3722369698 117.6873718703  
7bgy  1      Electron Microscopy 2.9       802   A     -72.7834920143  -139.2400425244 172.0431533592  -114.9794012397 -146.7631491448 179.4900388709  
7lc3  1      Electron Microscopy 3.23      801   B     95.8830894545   87.6865884911   -146.1800987699 -142.4932208461 -106.8034032360 108.9443036727  
7bh2  2      Electron Microscopy 3.0       801   B     -125.5216344679 159.9369173034  -101.6733486409 -79.4496770955  -143.8711883109 146.0696195864  
5jxd  1      X-ray diffraction   2.029     201   A     94.1115229397   -143.1164947760 -113.6337010605 -118.0208899282 103.5819881902  -53.1438100820  
5h5a  1      X-ray diffraction   2.26      301   A     -155.6465188463 147.6203346914  -61.9440386621  -132.6114547092 -154.6534371883 128.7033682500  
5h5a  1      X-ray diffraction   2.26      301   B     157.7147623684  119.8801550267  106.3791936497  -75.9660926709  138.2714221629  116.0768108343  
5h5a  1      X-ray diffraction   2.26      301   C     159.9544787721  101.1434530417  -155.0881939342 40.5818983171   133.1558643592  -66.8159246866  
5h5a  1      X-ray diffraction   2.26      301   D     -149.8704947251 -121.8780389800 133.9074311762  -82.5918563436  -165.8100650497 -82.9204463979  
6pqo  1      Electron Microscopy 2.88      1306  D     -13.2193283703  154.5317502160  -146.0722785233 106.6531129088  -133.1213682996 -128.1044094853 
6pqo  1      Electron Microscopy 2.88      1310  D     -177.1454202157 178.9681582643  -160.0316599429 145.3878541452  -133.4616526592 126.2422220721  
6pqp  1      Electron Microscopy 3.06      1204  A     -158.1378078687 129.7688798911  99.2105292056   68.4764646521   142.8911480757  -107.4928389112 
6pqp  1      Electron Microscopy 3.06      1205  A     110.0059152950  165.8611865200  127.8541860212  75.4475524632   -131.0090463155 -125.6644342075 
6pqp  1      Electron Microscopy 3.06      1209  A     -177.0476612625 -179.9616368426 33.4263721346   149.2577097923  -173.2978916948 130.3051312175  
6x16  1      Electron Microscopy 3.39      501   B     -170.2883432561 -150.4832770231 82.4509875706   -113.2992818261 168.4980838559  -167.4431959171 
6vyi  1      Electron Microscopy 3.0       501   A     56.3340136037   148.3358612635  82.9159316596   -30.0124529359  -102.5955261310 -82.3887194804  
6vyi  1      Electron Microscopy 3.0       502   A     56.5611871184   151.7877349631  3.3563033901    -93.5437380338  -150.0226865253 44.6024310065   
6vyi  1      Electron Microscopy 3.0       503   A     -177.2825565880 131.3262131545  168.4510804151  -170.1895001563 -172.1624652408 156.9083788650  
6vyi  1      Electron Microscopy 3.0       501   B     83.5023814241   112.0517071399  126.5625543217  108.6820092933  130.8230246133  115.1422265090  
6w98  1      Electron Microscopy 2.9       2003  A     170.6905071388  -94.5144727321  -91.3555839292  -92.8543889858  163.8128842333  78.1910326007   
6uz3  1      Electron Microscopy 3.5       3015  A     -9.6759393260   161.8227468797  114.9383687070  -50.2159086240  113.2110094865  38.0535774095   
6uz3  1      Electron Microscopy 3.5       3016  A     152.0599882261  157.0489996830  149.8378571183  -161.5974508722 -103.8848649869 178.3199606394  
6uz3  1      Electron Microscopy 3.5       3020  A     147.9962089638  152.7054109110  132.7304535523  -166.7435242838 -159.2803384216 136.7546858920  
6uz3  1      Electron Microscopy 3.5       3021  A     152.3487568139  178.0615415528  -62.8811243299  -154.5373727170 139.1940668405  4.9638108257    
6uw4  1      Electron Microscopy 3.1       801   A     139.0828411027  163.7745824656  104.6665240537  -174.1168037928 -135.9798384514 135.3918421724  
6uw4  1      Electron Microscopy 3.1       802   A     -98.3616244199  156.6773290433  -170.4007280060 -152.1882466635 -129.8581909173 162.4158921273  
6uw4  1      Electron Microscopy 3.1       803   A     -89.8512135572  138.0698292029  83.7495114284   -174.6973014979 112.2835780463  58.6897270380   
6uw4  1      Electron Microscopy 3.1       804   A     -92.8876413807  131.2918383987  176.5277687082  157.4399208486  77.6023048097   93.4460643254   
6uw4  1      Electron Microscopy 3.1       805   A     -138.1080088236 -115.6177743540 164.3029917354  32.1436288866   66.1070935562   68.6673336290   
6x15  1      Electron Microscopy 3.05      506   A     -128.2377239262 -130.2843201903 104.0804101378  30.3342501111   170.9917122108  34.0459010206   
6x15  1      Electron Microscopy 3.05      507   A     91.0503881824   -154.5705905751 -108.5511770465 53.8578598191   -105.1608967720 130.5038962091  
6x15  1      Electron Microscopy 3.05      508   A     81.9477547339   -102.2106486709 123.2993989238  80.6163621339   135.9952231143  -68.0838230217  
6agf  1      Electron Microscopy 3.2       1908  A     164.3576930174  143.8113334630  98.6740255170   115.5336008028  -122.8536401500 121.4925265253  
6agf  1      Electron Microscopy 3.2       1909  A     154.4212543649  -75.6478922413  121.4996922221  24.4977083938   121.7785334939  -118.8081084317 
6agf  1      Electron Microscopy 3.2       1910  A     165.0548688485  -175.7103615840 81.0333320834   159.9101700278  79.9473233373   44.4447541799   
6agf  1      Electron Microscopy 3.2       1911  A     131.5534178374  -87.9198781499  -77.4485981285  171.2000369053  87.0392996565   45.3109400137   
6agf  1      Electron Microscopy 3.2       1912  A     169.4864310281  179.4368771431  116.2682538486  -161.5804385943 -131.4000820729 176.6706977205  
6agf  1      Electron Microscopy 3.2       1913  A     77.4843184337   114.9915335848  -85.3398025275  -48.7184579938  143.6953410490  147.0088994388  
6br8  1      X-ray diffraction   2.3       401   A     170.4721852439  -118.4695126093 37.1281988089   56.0398403132   144.3919312262  103.4075718162  
6br8  1      X-ray diffraction   2.3       402   A     -6.0164217835   88.3045971383   21.6056953004   -90.3934771617  156.1538740360  75.8498595281   
6br8  1      X-ray diffraction   2.3       403   A     91.6991694867   -169.4584480968 167.7663020753  -98.1789162580  135.0476397754  76.0330118813   
6br8  1      X-ray diffraction   2.3       405   A     179.7635308486  -162.2122038381 -16.0662155007  -91.0428120903  118.2565448205  60.5204396411   
6br8  1      X-ray diffraction   2.3       401   B     -170.7729925383 -61.7128360714  -36.0847140987  117.7390552523  135.6359054504  69.6437231036   
6br8  1      X-ray diffraction   2.3       402   B     -90.5093537975  42.6273428251   69.2909277698   -13.0638431815  76.9412510465   42.5905901899   
6br8  1      X-ray diffraction   2.3       403   B     82.2846022073   -160.5112814412 54.0267936126   144.8735419139  -81.7682215573  173.6717335234  
6br8  1      X-ray diffraction   2.3       405   B     128.2053939179  89.5807206101   -170.4761881216 125.0768451604  -90.3774970953  159.9471231947  
6br9  1      X-ray diffraction   2.2       401   A     -119.0097549111 -62.9556366022  96.2277680276   65.7160341229   149.9255043346  69.5883750922   
6br9  1      X-ray diffraction   2.2       402   A     83.4697493223   91.0582343447   45.0027549951   84.9069060831   -113.5780212358 132.1929273533  
6br9  1      X-ray diffraction   2.2       403   A     -140.9475562891 130.8861554037  -82.5514924935  26.6551867277   133.7063544681  51.5445172328   
6br9  1      X-ray diffraction   2.2       405   A     162.2581333430  -156.0510513674 -103.4856414181 138.2682202532  -162.5211045039 92.6272916844   
6vz1  1      Electron Microscopy 3.2       501   A     36.9713311252   134.1809900559  -59.8212089977  -43.7580095334  -153.5749872110 -25.3302229806  
6vz1  1      Electron Microscopy 3.2       502   A     -177.9581063568 115.5862761773  131.5892454436  -77.4477102377  155.3912018934  53.3594310229   
6vz1  1      Electron Microscopy 3.2       501   B     -63.9686638939  -175.1683051997 144.6187338304  45.5904157646   -130.9599101472 -98.1835564491  
6vz1  1      Electron Microscopy 3.2       502   B     176.3518055393  -141.0367519688 -104.7199239901 115.3672313033  143.3183607979  135.9842415388  
6uwf  1      Electron Microscopy 3.08      503   A     -164.7660034856 173.8523428922  -4.7488386432   -179.8211770793 156.3618929739  -148.9391664175 
6uz0  1      Electron Microscopy 3.24      3015  A     85.8054162511   130.0064454758  173.4851204718  -176.9356780973 169.5872032214  -97.1058610949  
6uz0  1      Electron Microscopy 3.24      3016  A     28.0971952502   157.1469011129  -174.8611361004 -105.9907272446 172.8083122971  150.9949245247  
6uz0  1      Electron Microscopy 3.24      3020  A     19.3598564259   177.4291275361  -119.2005239020 -88.9111243671  -138.8681729099 33.9769022834   
6uz0  1      Electron Microscopy 3.24      3021  A     150.3480743301  -176.3277052565 83.0525935216   -168.6707654495 -158.3915160939 76.5552868730   
6pqq  1      Electron Microscopy 2.81      1204  A     163.0040909763  173.9300054237  117.2233696141  -100.1538192168 -179.2698506984 127.4694113815  
6pqq  1      Electron Microscopy 2.81      1205  A     -176.8402997332 179.6518119314  151.4550896047  148.3410840342  -118.0965136359 119.5317370639  
6pqq  1      Electron Microscopy 2.81      1206  A     -12.3006517497  167.4897591178  -142.7320849882 99.7733552434   -110.5427298900 -162.0140127123 
7k18  2      Electron Microscopy 3.3       2202  A     33.2841266613   -170.0153224048 69.8775630047   -133.5328466563 175.6275552025  77.9074999292   
7k18  2      Electron Microscopy 3.3       2203  A     152.6796219259  145.7075044202  170.6135644749  -153.4425655092 -112.0515763445 -156.8582790313 
7k18  2      Electron Microscopy 3.3       2207  A     146.5790412670  148.4249586608  130.9449389876  -168.2802065574 -148.1019944482 144.8925875786  
7k18  2      Electron Microscopy 3.3       2208  A     -105.5571645940 156.2264562688  -153.7045613000 -81.6863253076  136.6367949087  -44.8811746194  
7kv8  1      Electron Microscopy 2.5       503   A     -88.3815345178  172.6072650901  124.8144091482  44.0313982590   148.4593768045  60.0862521117   
7kv8  1      Electron Microscopy 2.5       503   B     -110.4376340898 170.7335185318  140.5969387372  49.3472654204   150.8533028806  48.7259932446   
7kv8  1      Electron Microscopy 2.5       503   C     165.3581249030  128.5166909903  -136.3924794011 43.4107733472   -178.0559738190 74.1062452930   
7cu3  1      Electron Microscopy 2.65      2004  A     45.0618225676   -155.4057285170 101.4173909250  154.1535029196  124.1788929803  94.2472434131   
7cu3  1      Electron Microscopy 2.65      2007  A     130.6240574056  179.0707342570  -82.4351674667  -175.3610269035 113.2192116396  93.3926779097   
7cu3  1      Electron Microscopy 2.65      2009  A     140.7946518194  62.5723452978   148.4833324883  59.8955872835   130.0967556643  83.0674928500   
7cu3  1      Electron Microscopy 2.65      2014  A     -142.7564906324 103.1163857856  81.7448010719   176.5054101815  -135.5055607683 110.2566094353  
2qjk  1      X-ray diffraction   3.1       503   A     -179.9718015521 -156.4734049549 147.7844780759  -61.5680878694  163.8848544804  99.5739649580   
2qjk  1      X-ray diffraction   3.1       503   D     179.7943191446  -117.3414190250 -172.6283861853 -68.6694833399  -177.6985707682 44.7705037764   
2qjk  1      X-ray diffraction   3.1       504   G     179.8016026833  -157.3267418650 130.2580240563  -67.6539700632  -165.9630387911 88.7088268135   
2qjk  1      X-ray diffraction   3.1       504   J     179.9690695982  -160.8527636279 158.9881812431  -45.6995261108  159.8959630718  151.1080993383  
2qjk  1      X-ray diffraction   3.1       504   M     -179.7812996650 171.8677435946  -173.0172410330 -178.2228043783 172.9338292457  -154.7705755154 
2qjk  1      X-ray diffraction   3.1       504   P     -179.9452500909 -176.2551280581 169.4773236291  -59.0790345346  163.4680536524  34.8657964177   
2qjy  1      X-ray diffraction   2.4       1021  A     179.7045273388  -125.9569129833 131.5770743439  -58.9024487598  166.2635423277  85.0287944211   
2qjy  1      X-ray diffraction   2.4       1022  D     -179.9767786068 -155.7932432346 -178.2176738984 -50.9534629389  177.5784882326  50.4337843518   
2qjy  1      X-ray diffraction   2.4       1023  G     179.8337369617  -159.7079305981 135.3696077173  -68.1972019439  177.6661900908  95.3758656056   
2qjy  1      X-ray diffraction   2.4       1024  J     179.7783521675  128.6093652717  -150.4198332433 -31.8319611610  151.3795587056  60.5284836786   
2qjy  1      X-ray diffraction   2.4       1025  M     179.9117235246  150.0128160466  81.6785283332   179.6142685636  -167.5544763183 171.9631830814  
2qjy  1      X-ray diffraction   2.4       1026  P     -179.8420695949 171.2572734513  -125.6816380605 -68.3210186903  -173.4136210846 82.4877286193   
2fyn  1      X-ray diffraction   3.2       504   A     179.8569490298  -129.5893429416 140.2299436222  -70.3178148488  -178.6156949167 94.9746592640   
2fyn  1      X-ray diffraction   3.2       504   D     -179.8904590296 170.7430848784  172.1570640759  -81.2679784957  -172.5160688303 79.3912418192   
2fyn  1      X-ray diffraction   3.2       504   G     179.9698062320  -152.8479083367 97.0876503304   -98.8812518238  -142.3161453944 99.5952000480   
2fyn  1      X-ray diffraction   3.2       504   J     179.7213335579  -131.8264744786 132.1341342260  -63.2624893158  178.1920214036  89.2779066488   
2fyn  1      X-ray diffraction   3.2       504   M     -179.9404789794 -166.7475275483 -164.3807408043 175.8463884188  165.1212053639  -139.9840374704 
2fyn  1      X-ray diffraction   3.2       504   P     179.8713324786  128.0371932304  -149.1099167744 -65.5765318152  -173.1403603901 72.3737025340   
3ayg  1      X-ray diffraction   2.7       809   A     178.0043624404  -60.9706005929  -105.7797958323 -169.8100342506 55.9443852904   60.1446945804   
3ayg  1      X-ray diffraction   2.7       810   A     95.9619322921   95.8091947150   -168.1286328545 -22.7333343510  76.1507819020   95.1906273698   
2qjp  1      X-ray diffraction   2.6       503   A     179.6638395515  -157.1557630832 136.0661960766  -77.8081658816  173.3005410833  95.6891973537   
2qjp  1      X-ray diffraction   2.6       503   D     -179.5621824454 151.9566249659  -132.0940652029 -93.7016469127  -153.3188967732 103.7555796851  
2qjp  1      X-ray diffraction   2.6       504   G     179.8342659218  -178.0389785856 166.2788769762  38.6617928600   162.3627217392  -19.2633074268  
2qjp  1      X-ray diffraction   2.6       504   J     179.8568096192  -144.9728037456 140.7530531497  -43.9453853289  -176.7960430645 70.7204678843   
3ayf  1      X-ray diffraction   2.5       809   A     -174.0447175789 -54.1378216549  -106.8457760195 -168.6029344321 54.9113111868   64.4124552778   
3ayf  1      X-ray diffraction   2.5       810   A     105.0905458692  95.8996419748   -170.1907690689 -16.8378815748  68.1665492647   110.0414813024  
5kkz  1      X-ray diffraction   2.97      1006  A     43.1055836768   151.4889199337  -99.9696759748  -157.6686602215 143.1936392249  -98.6838885416  
5kkz  1      X-ray diffraction   2.97      1005  E     34.0882134186   153.6313154456  -111.6209006140 -179.2434798131 171.2434464221  -90.6365368577  
5kkz  1      X-ray diffraction   2.97      1006  K     42.6940490575   141.1455397882  -95.7480986991  -166.9996280417 161.4977431048  -98.2186648408  
5kkz  1      X-ray diffraction   2.97      1005  O     59.9522357965   -172.1566876294 -155.5759412177 -52.1639719620  -167.2342068026 80.3963376743   
5kli  1      X-ray diffraction   2.996     1006  A     -62.1090998735  161.6551785201  -95.5136022273  -152.7232878060 165.8867329446  -162.2601341921 
5kli  1      X-ray diffraction   2.996     1005  E     -31.1974281218  171.4743985924  -125.0578998279 138.0148019575  175.8911249334  -93.4743299757  
5kli  1      X-ray diffraction   2.996     1006  K     67.7293703581   165.1735985707  -126.5854248425 -24.8894206573  -163.3906415835 88.2027515198   
5kli  1      X-ray diffraction   2.996     1005  O     61.0033505727   -149.7375413344 170.9903491597  -80.5211730672  -170.0910754730 77.3613884150   
6qq6  1      Electron Microscopy 3.3       805   A     34.7075423405   159.7034742915  -69.3370104841  -129.3213512892 158.1102606518  -20.4464362802  
6qq6  1      Electron Microscopy 3.3       805   B     -174.4389283206 132.2670893202  -58.0105731084  -94.7027943116  162.7410310481  -131.3683511517 
6qq6  1      Electron Microscopy 3.3       806   B     65.2619606301   122.4638584274  -129.6276063772 29.7746544790   -178.9359390016 -95.0804913996  
1pp9  1      X-ray diffraction   2.1       2007  C     173.3263013523  -158.2472466210 48.2199864687   78.0629959802   153.2196290545  170.5779601668  
1pp9  1      X-ray diffraction   2.1       2006  D     73.3314825773   163.3672668382  62.3756719311   63.7752770220   176.1441627795  66.1287160148   
1pp9  1      X-ray diffraction   2.1       2005  G     166.9649416268  -81.2642308600  -72.9883890937  -41.9265784923  -176.7166243359 -173.7294447370 
1pp9  1      X-ray diffraction   2.1       3007  P     171.0344967415  -157.1771124575 53.4118362802   76.5688490439   154.0095912997  169.7121825378  
1pp9  1      X-ray diffraction   2.1       3006  Q     74.9070046181   161.4068604266  62.6927828850   69.5272005054   173.3862920402  64.1604803858   
1pp9  1      X-ray diffraction   2.1       3005  T     -95.1261659164  -84.3550960596  6.6929252642    -166.2522622544 157.8175735105  -94.7993772508  
3h1l  1      X-ray diffraction   3.21      2007  C     61.0913897860   102.1293390001  176.7595599799  -9.6798421379   -154.6289980097 -113.3549314044 
3h1l  1      X-ray diffraction   3.21      2005  E     -115.7242597924 -139.4489438798 -34.9906351991  155.8589171725  -146.5246664703 73.0168475044   
3h1l  1      X-ray diffraction   3.21      3007  P     62.0254151591   101.1575549994  177.4971887286  -10.9084040571  -150.3627328131 -112.5537400711 
3h1l  1      X-ray diffraction   3.21      3005  R     -114.5610633767 -141.5811557815 -33.1867968202  159.8482131186  -147.4931869359 69.3109189848   
3tgu  1      X-ray diffraction   2.7       506   C     119.3120692047  -159.6301634472 85.8424843698   71.1706640148   153.5707787900  -177.4924593216 
3tgu  1      X-ray diffraction   2.7       502   E     176.5714030820  151.5453144986  130.5272004345  73.5558417101   -147.4826424331 113.8275448579  
3tgu  1      X-ray diffraction   2.7       507   P     119.2377171470  -158.0373001964 81.8465516612   74.0702261921   151.8509928495  -178.9056314560 
3tgu  1      X-ray diffraction   2.7       502   R     -120.6922655520 -173.9895829741 73.6511314562   131.5302148138  -164.4718350213 72.0550485394   
3h1k  3      X-ray diffraction   3.48      2007  C     -60.7815210484  -143.8733860126 167.6057213995  76.1055605660   -161.9751676843 161.3842193465  
3h1k  3      X-ray diffraction   3.48      2005  E     -144.0409765607 168.6547182571  103.8501800398  90.5189405880   -135.2456594598 106.9947449790  
3h1k  3      X-ray diffraction   3.48      3007  P     -65.1031440971  -141.3428001604 172.9522437367  69.3551521522   -161.5908829765 167.7424148989  
3l70  1      X-ray diffraction   2.75      2007  C     64.9607054370   163.0655257942  130.6616099192  63.5512570761   170.5977588412  177.0785493040  
3l70  1      X-ray diffraction   2.75      2005  E     -156.7444109227 170.3433315756  119.6915131806  73.9469980565   -142.7767159416 114.7619923234  
3l75  1      X-ray diffraction   2.79      2005  C     167.0537120006  152.9487913070  120.5620698124  67.5509471348   -144.0045469202 122.8556809586  
3l75  1      X-ray diffraction   2.79      2007  C     -49.0011433379  149.0806822854  79.9212910756   58.8963426613   167.2426557675  -176.6359459622 
3l75  1      X-ray diffraction   2.79      3005  P     168.7436532451  154.1584425562  116.6361562547  69.5866663032   -145.3246841353 120.9203397850  
3l75  1      X-ray diffraction   2.79      3007  P     -38.8557402945  148.9078286869  75.9942407782   60.7910286888   164.0175520940  -177.6766874831 
3l71  1      X-ray diffraction   2.84      2005  A     -149.7466243978 168.4602345420  121.2504597358  65.4865802277   -139.7962729220 122.3109522872  
3l71  1      X-ray diffraction   2.84      2007  C     65.6031320495   133.0466942715  149.1891384200  62.3438223401   175.3982974403  -175.7900677240 
3l71  1      X-ray diffraction   2.84      3005  P     -154.0022840142 169.2444379611  121.5206342617  66.2994982957   -138.4585151120 120.6964794201  
2bcc  1      X-ray diffraction   3.5       384   C     -81.6776076258  -117.5161517899 -167.5273150330 -63.2031537195  -134.4402666304 -82.2892291751  
2bcc  1      X-ray diffraction   3.5       198   E     -164.2243158355 153.9725817046  164.0019587241  -60.8731330654  122.5791198758  -70.8127721583  
